pool,holdout,drop,metric,reference,n_controls,controls_correct,p_min,p_max,c_min,c_max,each_other_delta,each_other_within_pronoun_range,each_other_within_compound_range,each_other_between_control_ranges,one_another_delta,one_another_within_pronoun_range,one_another_within_compound_range,one_another_between_control_ranges,each_other_reference_percentile,one_another_reference_percentile
full,family,sem,hamming,within_block,57,56,-0.1108700109349371,0.0105502748511222,0.1137694639658261,0.1461864406779661,0.0778084952459694,False,False,True,0.0820457833815626,False,False,True,0.99845,0.99925
full,family,sem,idf_jaccard,fixed_total,57,57,-0.2127051911258145,-0.0265435878924541,0.2268312398365073,0.304892011083449,0.1009254477276652,False,False,True,0.1046450139058629,False,False,True,0.9982,0.9987
full,family,sem,idf_jaccard,within_block,57,57,-0.2127051911258145,-0.0265435878924541,0.2268312398365073,0.304892011083449,0.1009254477276652,False,False,True,0.1046450139058629,False,False,True,0.99715,0.9988
full,family,sem,jaccard,fixed_total,57,57,-0.3067922373397134,-0.0410723315044915,0.3004428882143226,0.3684468715270413,0.1734350661593181,False,False,True,0.1717785814251597,False,False,True,0.99985,0.99995
full,family,sem,jaccard,within_block,57,57,-0.3067922373397134,-0.0410723315044915,0.3004428882143226,0.3684468715270413,0.1734350661593181,False,False,True,0.1717785814251597,False,False,True,0.9999,1.0
full,family,synt,dice,fixed_total,57,56,-0.4522749730462755,0.0097809769512362,0.1652072676678135,0.3771472395526999,0.0405532506274427,False,False,True,0.0498193004170413,False,False,True,0.79285,0.83235
full,family,synt,dice,within_block,57,56,-0.4522749730462755,0.0097809769512362,0.1652072676678135,0.3771472395526999,0.0405532506274427,False,False,True,0.0498193004170413,False,False,True,0.7337,0.79065
full,family,synt,hamming,fixed_total,57,56,-0.125534188034188,0.0366099272349272,0.0808122263914946,0.1352603189493434,0.0356472795497185,True,False,False,0.0404549718574109,False,False,True,0.5802,0.6706
full,family,synt,hamming,within_block,57,56,-0.125534188034188,0.0366099272349272,0.0808122263914946,0.1352603189493434,0.0356472795497185,True,False,False,0.0404549718574109,False,False,True,0.533075,0.630475
full,family,synt,idf_jaccard,fixed_total,57,56,-0.287023221317856,0.0226682176493472,0.1029644844984709,0.2170281784053993,0.0284767681190722,False,False,True,0.0445630060134403,False,False,True,0.81165,0.9259
full,family,synt,idf_jaccard,within_block,57,56,-0.287023221317856,0.0226682176493472,0.1029644844984709,0.2170281784053993,0.0284767681190722,False,False,True,0.0445630060134403,False,False,True,0.69355,0.873
full,family,synt,jaccard,fixed_total,57,56,-0.3833366692529653,0.0061628204456193,0.1465187756997348,0.3056043954840547,0.0363018819115236,False,False,True,0.043916585566144,False,False,True,0.86105,0.90015
full,family,synt,jaccard,within_block,57,56,-0.3833366692529653,0.0061628204456193,0.1465187756997348,0.3056043954840547,0.0363018819115236,False,False,True,0.043916585566144,False,False,True,0.8059,0.86225
full,item,morph,dice,fixed_total,57,57,-0.2971754393796414,-0.0947984716620113,0.1772946322481894,0.3139418535696551,-0.0833096035175095,False,False,True,-0.0833096035175095,False,False,True,0.13025,0.12745
full,item,morph,dice,within_block,57,57,-0.2971754393796414,-0.0947984716620113,0.1772946322481894,0.3139418535696551,-0.0833096035175095,False,False,True,-0.0833096035175095,False,False,True,0.12315,0.12625
full,item,morph,hamming,fixed_total,57,57,-0.1335674157303371,-0.0153089887640449,0.0987667854206631,0.1700557230291404,-0.0203994244998629,True,False,False,-0.0203994244998629,True,False,False,0.12125,0.1188
full,item,morph,hamming,within_block,57,57,-0.1335674157303371,-0.0153089887640449,0.0987667854206631,0.1700557230291404,-0.0203994244998629,True,False,False,-0.0203994244998629,True,False,False,0.1134,0.11515
full,item,morph,idf_jaccard,fixed_total,57,57,-0.237025360779349,-0.0339336152480194,0.2222416356180879,0.3206520748262442,-0.0397289048432883,True,False,False,-0.0397289048432883,True,False,False,0.06395,0.06425
full,item,morph,idf_jaccard,within_block,57,57,-0.237025360779349,-0.0339336152480194,0.2222416356180879,0.3206520748262442,-0.0397289048432883,True,False,False,-0.0397289048432883,True,False,False,0.03255,0.0326
full,item,morph,jaccard,fixed_total,57,57,-0.2830518159486867,-0.0745785168048943,0.1864992338519762,0.3082894625694261,-0.0764086682597408,True,False,False,-0.0764086682597408,True,False,False,0.04385,0.04515
full,item,morph,jaccard,within_block,57,57,-0.2830518159486867,-0.0745785168048943,0.1864992338519762,0.3082894625694261,-0.0764086682597408,True,False,False,-0.0764086682597408,True,False,False,0.0419,0.0446
full,item,none,dice,fixed_total,57,57,-0.3501969814625104,-0.0554648842032331,0.2477820756496537,0.3699485683316249,0.0482520695214281,False,False,True,0.0549995810877577,False,False,True,0.83335,0.86745
full,item,none,dice,within_block,57,57,-0.3501969814625104,-0.0554648842032331,0.2477820756496537,0.3699485683316249,0.0482520695214281,False,False,True,0.0549995810877577,False,False,True,0.81845,0.8572
full,item,none,hamming,fixed_total,57,56,-0.1168831168831169,0.006168831168831,0.1098722415795586,0.1510716925351072,0.0330218561925878,False,False,True,0.0362686094393411,False,False,True,0.747525,0.80015
full,item,none,hamming,within_block,57,56,-0.1168831168831169,0.006168831168831,0.1098722415795586,0.1510716925351072,0.0330218561925878,False,False,True,0.0362686094393411,False,False,True,0.73155,0.788025
