lemma,role,family,eligible_control,pool,holdout,drop,weighting,features,n_pronoun,n_compound,d_pronoun,d_compound,delta,signed_control_margin
someone,compound_anchor,C:some,True,full,family,morph,original_equal_feature,89,41,12,0.7334660380689588,0.4791241284119845,0.2543419096569743,0.2543419096569743
something,compound_anchor,C:some,True,full,item,morph,original_equal_feature,89,41,15,0.7568360111281109,0.4753936061069994,0.2814424050211115,0.2814424050211115
something,compound_anchor,C:some,True,full,family,morph,original_equal_feature,89,41,12,0.7568360111281109,0.4988313796144256,0.2580046315136853,0.2580046315136853
somewhere,compound_anchor,C:some,True,full,item,morph,original_equal_feature,89,41,15,0.8250351360217459,0.57641880931736,0.2486163267043859,0.2486163267043859
somewhere,compound_anchor,C:some,True,full,family,morph,original_equal_feature,89,41,12,0.8250351360217459,0.5864655406322073,0.2385695953895386,0.2385695953895386
each_other,target,reciprocal,False,full,item,morph,original_equal_feature,89,41,16,0.6275402401733167,0.7039489084330575,-0.0764086682597408,
each_other,target,reciprocal,False,full,family,morph,original_equal_feature,89,41,16,0.6275402401733167,0.7039489084330575,-0.0764086682597408,
one_another,target,reciprocal,False,full,item,morph,original_equal_feature,89,41,16,0.6275402401733167,0.7039489084330575,-0.0764086682597408,
one_another,target,reciprocal,False,full,family,morph,original_equal_feature,89,41,16,0.6275402401733167,0.7039489084330575,-0.0764086682597408,
he,pronoun_anchor,P:he,True,full,item,morph,original_equal_feature,89,40,16,0.5612544661756249,0.7592334225931491,-0.1979789564175241,0.1979789564175241
he,pronoun_anchor,P:he,True,full,family,morph,original_equal_feature,89,37,16,0.5702063609995056,0.7592334225931491,-0.1890270615936434,0.1890270615936434
him,pronoun_anchor,P:he,True,full,item,morph,original_equal_feature,89,40,16,0.4909325482847638,0.7475335904440905,-0.2566010421593266,0.2566010421593266
him,pronoun_anchor,P:he,True,full,family,morph,original_equal_feature,89,37,16,0.5003919384959788,0.7475335904440905,-0.2471416519481116,0.2471416519481116
himself,pronoun_anchor,P:he,True,full,item,morph,original_equal_feature,89,40,16,0.5155052625218308,0.7613281574345082,-0.2458228949126774,0.2458228949126774
himself,pronoun_anchor,P:he,True,full,family,morph,original_equal_feature,89,37,16,0.5233490438604925,0.7613281574345082,-0.2379791135740157,0.2379791135740157
his,pronoun_anchor,P:he,True,full,item,morph,original_equal_feature,89,40,16,0.475692553351222,0.6864910576158972,-0.2107985042646752,0.2107985042646752
his,pronoun_anchor,P:he,True,full,family,morph,original_equal_feature,89,37,16,0.4725633781403172,0.6864910576158972,-0.21392767947558,0.21392767947558
she,pronoun_anchor,P:she,True,full,item,morph,original_equal_feature,89,40,16,0.5602335572010869,0.7592334225931491,-0.1989998653920621,0.1989998653920621
she,pronoun_anchor,P:she,True,full,family,morph,original_equal_feature,89,36,16,0.5664090991507988,0.7592334225931491,-0.1928243234423502,0.1928243234423502
her_acc,pronoun_anchor,P:she,True,full,item,morph,original_equal_feature,89,40,16,0.4780546809352625,0.7158706875661581,-0.2378160066308956,0.2378160066308956
her_acc,pronoun_anchor,P:she,True,full,family,morph,original_equal_feature,89,36,16,0.4847212504218965,0.7158706875661581,-0.2311494371442615,0.2311494371442615
her_dep,pronoun_anchor,P:she,True,full,item,morph,original_equal_feature,89,40,16,0.6031183618689959,0.793503090370114,-0.1903847285011181,0.1903847285011181
her_dep,pronoun_anchor,P:she,True,full,family,morph,original_equal_feature,89,36,16,0.599082396305323,0.793503090370114,-0.194420694064791,0.194420694064791
hers,pronoun_anchor,P:she,True,full,item,morph,original_equal_feature,89,40,16,0.4583822759470511,0.6719237646046856,-0.2135414886576345,0.2135414886576345
hers,pronoun_anchor,P:she,True,full,family,morph,original_equal_feature,89,36,16,0.4579918636193916,0.6719237646046856,-0.213931900985294,0.213931900985294
herself,pronoun_anchor,P:she,True,full,item,morph,original_equal_feature,89,40,16,0.5147397481981323,0.7613281574345082,-0.2465884092363759,0.2465884092363759
herself,pronoun_anchor,P:she,True,full,family,morph,original_equal_feature,89,36,16,0.5163451229655496,0.7613281574345082,-0.2449830344689586,0.2449830344689586
it_plain,pronoun_anchor,P:it,True,full,item,morph,original_equal_feature,89,40,16,0.5744197650717657,0.7513532329391964,-0.1769334678674307,0.1769334678674307
it_plain,pronoun_anchor,P:it,True,full,family,morph,original_equal_feature,89,37,16,0.5761767958005803,0.7513532329391964,-0.175176437138616,0.175176437138616
it_dum,pronoun_anchor,P:it,True,full,item,morph,original_equal_feature,89,40,16,0.7310723188731152,0.8056508356780095,-0.0745785168048943,0.0745785168048943
it_dum,pronoun_anchor,P:it,True,full,family,morph,original_equal_feature,89,37,16,0.7387225412098886,0.8056508356780095,-0.0669282944681209,0.0669282944681209
its,pronoun_anchor,P:it,True,full,item,morph,original_equal_feature,89,40,16,0.5683637516404039,0.7356139163480246,-0.1672501647076207,0.1672501647076207
its,pronoun_anchor,P:it,True,full,family,morph,original_equal_feature,89,37,16,0.566539391162799,0.7356139163480246,-0.1690745251852256,0.1690745251852256
itself,pronoun_anchor,P:it,True,full,item,morph,original_equal_feature,89,40,16,0.5623564281492495,0.7321559876236282,-0.1697995594743787,0.1697995594743787
itself,pronoun_anchor,P:it,True,full,family,morph,original_equal_feature,89,37,16,0.5654233527669433,0.7321559876236282,-0.1667326348566848,0.1667326348566848
I,pronoun_anchor,P:I,True,full,item,morph,original_equal_feature,89,40,16,0.5734120594873672,0.783980393712637,-0.2105683342252697,0.2105683342252697
I,pronoun_anchor,P:I,True,full,family,morph,original_equal_feature,89,36,16,0.5748894144828935,0.783980393712637,-0.2090909792297434,0.2090909792297434
me,pronoun_anchor,P:I,True,full,item,morph,original_equal_feature,89,40,16,0.5349607473583518,0.7834706512125869,-0.2485099038542351,0.2485099038542351
